# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 552
24.97 b1 0.18
25.16 f#2 0.18
25.34 c#2 0.18
25.53 g#2 0.18
25.71 c#2 0.18
25.90 g#2 0.18
26.09 d2 0.18
26.27 g#2 0.18
26.46 d2 0.18
26.65 g#2 0.18
26.83 d#2 0.18
27.02 a#2 0.18
27.20 d#2 0.18
27.39 a#2 0.18
27.58 d#2 0.18
27.76 a#2 0.18
27.95 d#2 0.18
28.14 a#2 0.18
28.32 d#2 0.18
28.51 a#2 0.18
28.70 d#2 0.18
28.88 a#2 0.18
29.07 d#2 0.18
29.25 a#2 0.18
29.44 c#2 0.18
29.63 g#2 0.18
29.81 b1 0.18
30.00 f#2 0.18
30.19 b1 0.18
30.37 f#2 0.18
30.56 b1 0.18
30.75 f#2 0.18
30.93 b1 0.18
31.12 f#2 0.18
31.30 c#2 0.18
31.49 g#2 0.18
31.68 c#2 0.18
31.86 g#2 0.18
32.05 d2 0.18
32.24 g#2 0.18
32.42 d2 0.18
32.61 g#2 0.18
33.54 a#4 0.18
33.73 c#5 0.18
32.80 b1 1.42
32.80 f#2 1.42
33.91 d#5 0.35
34.84 f#4 0.53
34.29 c#2 1.42
34.29 g#2 1.42
35.40 c#5 0.35
36.15 d#5 0.18
36.34 a#4 0.53
35.78 d#2 1.42
35.78 a#2 1.42
36.89 g#4 0.35
37.27 d#2 0.35
37.27 a#2 0.35
37.64 d#2 0.35
37.64 a#2 0.35
37.83 f#4 0.53
38.01 d#2 0.35
38.39 d#2 0.35
38.39 a#2 0.35
38.76 b1 0.18
38.94 f#2 0.18
39.13 b1 0.18
39.32 f#2 0.18
39.50 b1 0.18
39.69 f#2 0.18
39.88 b1 0.18
40.06 f#2 0.18
40.25 c#2 0.18
40.43 g#2 0.18
40.62 c#2 0.18
40.81 g#2 0.18
40.99 c#2 0.18
41.18 g#2 0.18
41.37 c#2 0.18
41.55 g#2 0.18
41.74 d#2 0.18
41.93 a#2 0.18
42.11 d#2 0.18
42.30 a#2 0.18
42.48 d#2 0.18
42.67 a#2 0.18
42.86 d#2 0.18
43.04 a#2 0.18
43.23 d#2 0.18
43.42 a#2 0.18
43.60 d#2 0.18
43.79 a#2 0.18
43.98 d#2 0.18
44.16 a#2 0.18
44.35 c#2 0.18
44.53 g#2 0.18
44.72 b1 0.18
44.91 f#2 0.18
45.09 b1 0.18
45.28 f#2 0.18
45.47 b1 0.18
45.65 f#2 0.18
45.84 b1 0.18
46.02 f#2 0.18
46.21 c#2 0.18
46.40 g#2 0.18
46.58 c#2 0.18
46.77 g#2 0.18
46.96 c#2 0.18
47.14 g#2 0.18
47.33 c#2 0.18
47.52 g#2 0.18
47.70 d#2 0.18
47.89 a#2 0.18
48.07 d#2 0.18
48.26 a#2 0.18
48.45 d#2 0.18
48.63 a#2 0.18
48.82 d#2 0.18
49.01 a#2 0.18
49.19 d#2 0.18
49.38 a#2 0.18
49.57 d#2 0.18
49.75 a#2 0.18
49.94 d#2 0.18
50.12 a#2 0.18
50.31 c#2 0.18
50.50 g#2 0.18
50.68 b1 0.18
50.87 f#2 0.18
51.06 b1 0.18
51.24 f#2 0.18
