# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 795
71.62 f#5 0.12
71.75 g#5 0.12
71.88 f5 0.12
72.00 f#5 0.50
72.50 c5 0.25
72.50 c4 0.25
72.75 d5 0.25
72.75 d4 0.25
73.00 d#5 0.50
73.00 d#4 0.50
73.50 c5 0.25
73.50 c4 0.25
73.75 d5 0.25
73.75 d4 0.25
74.00 d#5 0.25
74.00 d#4 0.25
74.25 d5 0.25
74.25 d4 0.25
74.50 c5 0.25
74.50 c4 0.25
74.75 a#4 0.25
74.75 a#3 0.25
75.00 g#4 0.25
75.00 g#3 0.25
75.25 a#4 0.25
75.25 a#3 0.25
75.50 c5 0.25
75.50 c4 0.25
75.75 d5 0.25
75.75 d4 0.25
76.00 b4 0.25
76.00 b3 0.25
76.25 g4 0.25
76.25 g3 0.25
76.50 c5 0.25
76.50 c4 0.25
76.75 d5 0.25
76.75 d4 0.25
77.00 d#5 0.50
77.00 d#4 0.50
77.50 c5 0.25
77.50 c4 0.25
77.75 d5 0.25
77.75 d4 0.25
78.00 d#5 0.25
78.00 d#4 0.25
78.25 d5 0.25
78.25 d4 0.25
78.50 c5 0.25
78.50 c4 0.25
78.75 a#4 0.25
78.75 a#3 0.25
79.00 g#4 0.25
79.00 g#3 0.25
79.25 d5 0.25
79.25 d4 0.25
79.50 b4 0.25
79.50 b3 0.25
79.75 g4 0.25
79.75 g3 0.25
80.00 c5 0.50
80.00 c4 0.50
80.50 c#5 0.25
80.50 c#4 0.25
80.75 d#5 0.25
80.75 d#4 0.25
81.00 f5 0.50
81.00 f4 0.50
81.50 c#5 0.25
81.50 c#4 0.25
81.75 d#5 0.25
81.75 d#4 0.25
82.00 f5 0.25
82.00 f4 0.25
82.25 d#5 0.25
82.25 d#4 0.25
82.50 c#5 0.25
82.50 c#4 0.25
82.75 c5 0.25
82.75 c4 0.25
83.00 a#4 0.25
83.00 a#3 0.25
83.25 c5 0.25
83.25 c4 0.25
83.50 c#5 0.25
83.50 c#4 0.25
83.75 d#5 0.25
83.75 d#4 0.25
84.00 c5 0.25
84.00 c4 0.25
84.25 g#4 0.25
84.25 g#3 0.25
84.50 c#5 0.25
84.50 c#4 0.25
84.75 d#5 0.25
84.75 d#4 0.25
85.00 f5 0.50
85.00 f4 0.50
85.50 c#5 0.25
85.50 c#4 0.25
85.75 d#5 0.25
85.75 d#4 0.25
86.00 f5 0.25
86.00 f4 0.25
86.25 d#5 0.25
86.25 d#4 0.25
86.50 c#5 0.25
86.50 c#4 0.25
86.75 c5 0.25
86.75 c4 0.25
87.00 a#4 0.25
87.00 a#3 0.25
87.25 d#5 0.25
87.25 d#4 0.25
87.50 c5 0.25
87.50 c4 0.25
87.75 g#4 0.25
87.75 g#3 0.25
88.00 c#5 0.50
88.00 c#4 0.50
88.50 a#4 0.12
88.62 g#4 0.12
88.75 g4 0.12
88.88 g#4 0.12
89.00 b4 0.25
89.50 c#5 0.12
89.62 b4 0.12
89.75 a#4 0.12
89.88 b4 0.12
90.00 d#5 0.25
90.50 e5 0.12
90.62 d#5 0.12
90.75 d5 0.12
90.88 d#5 0.12
91.00 a#5 0.12
91.12 g#5 0.12
91.25 g5 0.12
91.38 g#5 0.12
91.50 a#5 0.12
91.62 g#5 0.12
91.75 g5 0.12
91.88 g#5 0.12
92.00 b5 0.50
92.50 g#5 0.25
92.75 b5 0.25
93.00 a#5 0.25
93.25 g#5 0.25
93.25 f5 0.25
93.50 f#5 0.25
93.50 d#5 0.25
93.75 g#5 0.25
93.75 f5 0.25
94.00 a#5 0.25
94.25 g#5 0.25
94.25 f5 0.25
94.50 f#5 0.25
94.50 d#5 0.25
94.75 g#5 0.25
94.75 f5 0.25
95.00 a#5 0.25
95.25 g#5 0.25
95.25 f5 0.25
95.50 f#5 0.25
95.50 d#5 0.25
95.75 f5 0.25
95.75 d5 0.25
96.00 d#5 0.50
96.50 a#4 0.25
96.50 f#4 0.25
96.75 b4 0.25
96.75 g#4 0.25
97.00 c#5 0.25
97.00 a#4 0.25
97.25 c#5 0.25
97.25 a#4 0.25
97.50 d#5 0.12
97.62 c#5 0.12
97.75 b4 0.12
97.88 a#4 0.12
98.00 g#4 0.50
98.00 f4 0.50
98.50 g4 0.25
98.50 e4 0.25
98.75 a4 0.25
98.75 f#4 0.25
99.00 b4 0.25
99.00 g4 0.25
99.25 b4 0.25
99.25 g4 0.25
99.50 c5 0.12
99.62 b4 0.12
99.75 a4 0.12
99.88 g4 0.12
100.00 f#4 0.50
100.00 d#4 0.50
100.50 c5 0.12
100.62 a#4 0.12
100.75 g#4 0.12
100.88 a#4 0.12
101.00 c#5 0.25
101.50 d#5 0.12
101.62 c#5 0.12
101.75 c5 0.12
101.88 c#5 0.12
102.00 f5 0.25
102.50 f#5 0.12
102.62 f5 0.12
102.75 e5 0.12
102.88 f5 0.12
103.00 c6 0.12
103.12 a#5 0.12
103.25 a5 0.12
103.38 a#5 0.12
103.50 c6 0.12
103.62 a#5 0.12
103.75 a5 0.12
103.88 a#5 0.12
104.00 c#6 0.50
104.50 a#5 0.25
104.75 c6 0.25
105.00 c#6 0.25
105.25 c6 0.25
105.50 a#5 0.25
105.75 a5 0.25
106.00 a#5 0.25
106.25 f5 0.25
106.50 a#5 0.25
106.75 c6 0.25
107.00 c#6 0.25
107.25 c6 0.25
107.50 a#5 0.25
107.75 a5 0.25
108.00 a#5 0.25
108.25 f5 0.25
108.50 a#5 0.25
108.75 c6 0.25
109.00 c#6 0.25
109.25 c6 0.25
109.50 a#5 0.25
109.75 a5 0.25
110.00 a#5 0.25
110.25 f5 0.25
110.50 f#5 0.25
110.75 d#5 0.25
111.00 c#5 0.50
111.50 c5 0.37
111.88 a#4 0.06
111.94 c5 0.06
112.00 a#4 0.50
112.50 a5 0.25
112.50 a4 0.25
112.75 b5 0.25
112.75 b4 0.25
113.00 c#6 0.50
113.00 c#5 0.50
113.50 a5 0.25
113.50 a4 0.25
113.75 b5 0.25
113.75 b4 0.25
114.00 c#6 0.25
114.00 c#5 0.25
114.25 b5 0.25
114.25 b4 0.25
114.50 a5 0.25
114.50 a4 0.25
114.75 g#5 0.25
114.75 g#4 0.25
115.00 f#5 0.25
115.00 f#4 0.25
115.25 g#5 0.25
115.25 g#4 0.25
115.50 a5 0.25
115.50 a4 0.25
115.75 b5 0.25
115.75 b4 0.25
116.00 g#5 0.25
116.00 g#4 0.25
116.25 e5 0.25
116.25 e4 0.25
116.50 a5 0.25
116.50 a4 0.25
116.75 b5 0.25
116.75 b4 0.25
117.00 c#6 0.50
117.00 c#5 0.50
117.50 a5 0.25
117.50 a4 0.25
117.75 b5 0.25
117.75 b4 0.25
118.00 c#6 0.25
118.00 c#5 0.25
118.25 b5 0.25
118.25 b4 0.25
118.50 a5 0.25
118.50 a4 0.25
118.75 g#5 0.25
