# Start of Music
bpm 40

num_parts 2

# Instrument: 

part
num_notes 19245
176.67 g5 0.14
176.81 d5 0.14
176.94 b4 0.14
177.08 g4 0.14
177.22 e4 0.14
177.36 g4 0.14
177.50 b4 0.14
177.64 d5 0.14
177.78 g5 0.14
177.92 f#5 0.14
178.06 e5 0.14
178.19 d5 0.14
178.33 c#5 0.14
178.47 g4 0.14
178.61 e4 0.14
178.75 c#4 0.14
178.89 a3 0.14
179.03 c#4 0.14
179.17 e4 0.14
179.31 g4 0.14
179.44 c#5 0.14
179.58 e5 0.14
179.72 d5 0.14
179.86 c#5 0.14
180.00 d5 0.28
180.28 f#3 0.28
180.56 f#3 0.28
180.83 a4 0.28
181.11 d5 0.28
181.39 f#5 0.28
181.67 b4 0.28
181.94 g3 0.28
182.22 g3 0.28
182.50 b4 0.28
182.78 e5 0.28
183.06 g5 0.28
183.33 c#5 0.14
183.47 e5 0.14
183.61 a4 0.14
183.75 g4 0.14
183.89 f#4 0.14
184.03 a4 0.14
184.17 d5 0.14
184.31 f#5 0.14
184.44 g5 0.14
184.58 e5 0.14
184.72 d5 0.14
184.86 c#5 0.14
185.00 f#5 0.14
185.14 d5 0.14
185.28 c#5 0.14
185.42 b4 0.14
185.56 a4 0.14
185.69 g4 0.14
185.83 f#4 0.14
185.97 e4 0.14
186.11 d4 0.55
186.67 g4 0.14
186.81 f#4 0.14
186.94 g4 0.42
187.36 d4 0.14
187.50 e4 0.14
187.64 f#4 0.14
187.78 g4 0.14
187.92 a4 0.14
188.06 b4 0.14
188.19 c#5 0.14
188.33 d5 0.14
188.47 c#5 0.14
188.61 d5 0.42
189.03 a4 0.14
189.17 b4 0.14
189.31 c#5 0.14
189.44 d5 0.14
189.58 e5 0.14
189.72 f#5 0.14
189.86 d5 0.14
190.00 g5 0.14
190.14 f#5 0.14
190.28 g5 0.42
190.69 f#5 0.14
190.83 e5 0.14
190.97 d5 0.14
191.11 c#5 0.14
191.25 e5 0.14
191.39 a4 0.14
191.53 g4 0.14
191.67 f#4 0.14
191.81 e4 0.14
191.94 d4 0.14
192.08 c#4 0.14
192.22 d4 0.14
192.36 f#4 0.14
192.50 a3 0.14
192.64 g3 0.14
192.78 f#3 0.14
192.92 a3 0.14
193.06 d3 0.28
193.61 d5 0.14
193.75 c5 0.14
193.89 d5 0.28
194.17 g4 0.28
194.44 b3 0.28
194.72 d5 0.28
195.28 e5 0.14
195.42 d5 0.14
195.56 e5 0.28
195.83 a4 0.28
196.11 c4 0.28
196.39 e5 0.28
196.94 f#5 0.14
197.08 e5 0.14
197.22 f#5 0.28
197.50 d5 0.28
197.78 a5 0.28
198.06 c5 0.55
198.61 b4 0.28
199.03 g4 0.14
199.17 b4 0.14
199.31 d5 0.14
199.44 g5 0.14
199.58 d5 0.14
199.72 g5 0.14
199.86 a5 0.14
200.00 b5 0.14
200.14 g5 0.14
200.28 d5 0.14
200.42 b4 0.14
200.56 g4 0.14
200.69 b4 0.14
200.83 d5 0.14
200.97 g5 0.14
201.11 b5 0.14
201.25 g5 0.14
201.39 f#5 0.14
201.53 e5 0.14
201.67 a5 0.14
201.81 e5 0.14
201.94 c#5 0.14
202.08 a4 0.14
202.22 f#4 0.14
202.36 a4 0.14
202.50 c#5 0.14
202.64 e5 0.14
202.78 a5 0.14
202.92 f#5 0.14
203.06 e5 0.14
203.19 d5 0.14
203.33 g5 0.14
203.47 d5 0.14
203.61 b4 0.14
203.75 g4 0.14
203.89 e4 0.14
204.03 g4 0.14
204.17 b4 0.14
204.31 d5 0.14
204.44 g5 0.14
204.58 f#5 0.14
204.72 e5 0.14
204.86 d5 0.14
205.00 c#5 0.14
205.14 g4 0.14
205.28 e4 0.14
205.42 c#4 0.14
205.56 a3 0.14
205.69 c#4 0.14
205.83 e4 0.14
205.97 g4 0.14
206.11 c#5 0.14
206.25 e5 0.14
206.39 d5 0.14
206.53 c#5 0.14
206.67 d5 0.28
206.94 f#3 0.28
207.22 f#3 0.28
207.50 a4 0.28
207.78 d5 0.28
208.06 f#5 0.28
208.33 b4 0.28
208.61 g3 0.28
208.89 g3 0.28
209.17 b4 0.28
209.44 e5 0.28
209.72 g5 0.28
210.00 c#5 0.14
210.14 e5 0.14
210.28 a4 0.14
210.42 g4 0.14
210.56 f#4 0.14
210.69 a4 0.14
210.83 d5 0.14
210.97 f#5 0.14
211.11 g5 0.14
211.25 e5 0.14
211.39 d5 0.14
211.53 c#5 0.14
211.67 f#5 0.14
211.81 d5 0.14
211.94 c#5 0.14
212.08 b4 0.14
212.22 a4 0.14
212.36 g4 0.14
212.50 f#4 0.14
212.64 e4 0.14
212.78 d4 0.55
213.33 f#5 0.14
213.47 g5 0.14
213.61 a5 0.42
214.03 b5 0.14
214.17 a5 0.14
214.31 g5 0.14
214.44 f#5 0.14
214.58 e5 0.14
