# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 1

# Instrument: Elec. Piano (Classic)

part
num_notes 905
147.60 f#3 1.20 0.39
148.20 f#5 0.60 0.39
148.20 f#4 0.60 0.39
148.80 d3 0.60 0.39
148.80 d5 0.60 0.39
148.80 d4 0.60 0.39
149.40 e4 1.20 0.39
149.40 b3 1.35 0.39
149.40 e3 1.35 0.39
149.40 e5 1.65 0.39
151.50 e2 0.15 0.39
151.80 e2 0.15 0.39
152.10 e2 0.15 0.39
152.40 e2 0.15 0.39
153.00 e2 0.15 0.39
153.60 b1 0.15 0.39
155.25 e2 0.15 0.39
155.40 e2 0.15 0.39
156.00 e2 0.15 0.39
156.30 g2 0.15 0.39
156.60 e2 0.15 0.39
160.20 e2 0.15 0.39
160.80 b1 0.15 0.39
162.00 e2 0.15 0.39
162.45 e2 0.15 0.39
162.60 e2 0.15 0.39
163.20 e2 0.15 0.39
163.50 g2 0.15 0.39
163.80 e2 0.15 0.39
165.90 e2 0.15 0.39
166.20 e2 0.15 0.39
166.50 e2 0.15 0.39
166.80 e2 0.15 0.39
167.40 e2 0.15 0.39
168.00 b1 0.15 0.39
169.65 e2 0.15 0.39
169.80 e2 0.15 0.39
170.40 e2 0.15 0.39
170.70 g2 0.15 0.39
171.00 e2 0.15 0.39
174.60 e2 0.15 0.39
175.20 b1 0.15 0.39
176.40 e2 0.15 0.39
176.85 e2 0.15 0.39
177.00 e2 0.15 0.39
177.60 e2 0.15 0.39
177.90 g2 0.15 0.39
178.20 e2 0.15 0.39
180.00 e5 0.15 0.39
180.00 a5 0.15 0.39
180.30 a5 0.15 0.39
180.30 e5 0.15 0.39
180.60 e5 0.15 0.39
180.90 c#5 0.15 0.39
180.90 e5 0.15 0.39
181.20 a4 0.15 0.39
181.20 c#5 0.15 0.39
181.50 c#5 0.15 0.39
181.50 a4 0.15 0.39
181.80 a5 0.15 0.39
181.80 e5 0.15 0.39
182.10 a5 0.15 0.39
182.10 e5 0.15 0.39
182.40 c#5 0.15 0.39
182.40 e5 0.15 0.39
182.70 e5 0.15 0.39
182.70 c#5 0.15 0.39
183.00 a4 0.15 0.39
183.00 c#5 0.15 0.39
183.30 a4 0.15 0.39
183.30 c#5 0.15 0.39
183.60 e5 0.15 0.39
183.60 b4 0.15 0.39
183.90 b4 0.15 0.39
183.90 e5 0.15 0.39
184.20 g4 0.15 0.39
184.20 b4 0.15 0.39
184.50 g4 0.15 0.39
184.50 b4 0.15 0.39
184.80 g4 0.15 0.39
184.80 e4 0.15 0.39
185.10 g4 0.15 0.39
185.10 e4 0.15 0.39
185.40 b4 0.15 0.39
185.40 e5 0.15 0.39
185.70 e5 0.15 0.39
185.70 b4 0.15 0.39
186.00 b4 0.15 0.39
186.00 g4 0.15 0.39
186.30 g4 0.15 0.39
186.30 b4 0.15 0.39
186.60 e4 0.15 0.39
186.60 g4 0.15 0.39
186.90 g4 0.15 0.39
186.90 e4 0.15 0.39
187.20 e5 0.15 0.39
187.50 e5 0.15 0.39
187.50 a5 0.15 0.39
187.80 c#5 0.15 0.39
187.80 e5 0.15 0.39
188.10 e5 0.15 0.39
188.10 c#5 0.15 0.39
188.40 a4 0.15 0.39
188.40 c#5 0.15 0.39
188.70 a4 0.15 0.39
188.70 c#5 0.15 0.39
189.00 a5 0.15 0.39
189.00 e5 0.15 0.39
189.30 e5 0.15 0.39
189.30 a5 0.15 0.39
189.60 c#5 0.15 0.39
189.90 c#5 0.15 0.39
189.90 e5 0.15 0.39
190.20 c#5 0.15 0.39
190.20 a4 0.15 0.39
190.50 c#5 0.15 0.39
