# Start of Music
bpm 60

num_parts 13

part
num_notes 1319
98.04 d3 0.81
98.79 d4 0.19
99.05 b3 0.24
99.30 d4 0.26
99.06 b2 0.54
99.56 b3 0.21
99.81 b2 0.22
99.55 f#4 0.49
99.81 d4 0.24
100.05 a3 0.25
100.30 d4 0.27
100.05 d3 0.54
100.56 a3 0.24
100.80 d3 0.22
100.80 d4 0.25
100.55 f#4 0.53
101.05 b3 0.24
101.29 d4 0.28
101.55 b3 0.22
101.06 b2 0.92
101.80 d4 0.24
101.55 f#4 0.52
102.05 a3 0.25
102.30 d4 0.26
102.55 a3 0.25
102.81 d4 0.23
102.04 d3 1.02
102.55 f#4 0.54
103.05 b2 0.24
103.30 d4 0.28
103.05 b3 0.73
103.55 f#4 0.53
103.80 d4 0.29
104.29 d4 0.28
104.05 a3 0.58
104.56 f#4 0.42
104.80 d4 0.25
105.06 g5 0.18
105.06 g6 0.18
105.31 f#5 0.16
105.30 f#6 0.17
105.06 b3 0.45
105.31 d4 0.21
105.55 e5 0.17
105.55 e6 0.18
105.81 d4 0.24
105.55 f#4 0.55
105.81 e5 0.30
105.80 e6 0.32
106.30 f#6 0.17
106.29 f#5 0.17
106.32 d4 0.21
106.06 a3 0.73
106.56 f#4 0.49
106.82 d4 0.27
107.31 d4 0.27
107.07 b3 0.65
107.56 f#4 0.47
107.81 d4 0.24
108.30 d4 0.24
108.06 a3 0.67
108.56 f#4 0.29
108.80 a4 0.17
108.80 a5 0.18
108.79 d4 0.24
109.06 g5 0.18
109.05 g6 0.20
109.06 b3 0.31
109.31 f#6 0.17
109.30 d4 0.23
109.56 e5 0.17
109.56 e6 0.18
109.80 d4 0.25
109.56 f#4 0.51
109.81 e5 0.45
109.81 e6 0.48
110.30 d4 0.23
110.54 f#6 0.18
110.54 f#5 0.18
110.06 a3 0.67
110.54 f#4 0.49
110.78 d4 0.26
110.80 d5 0.46
110.80 d6 0.47
111.05 b3 0.42
111.29 d4 0.25
111.55 e6 0.18
111.55 e5 0.19
111.79 d4 0.26
111.54 f#4 0.51
112.30 d4 0.24
112.06 a3 0.67
112.55 f#4 0.43
112.80 d4 0.23
111.81 a4 1.41
111.82 a5 1.49
113.05 b3 0.30
