# Start of Music
bpm 60

num_parts 2

# Instrument: Right Hand

part
num_notes 1682
129.87 g5 0.07
129.95 a5 0.07
130.03 g5 0.07
130.12 a5 0.07
130.20 f5 0.14
130.20 c6 0.14
130.36 a5 0.14
130.53 g5 0.14
130.69 a5 0.14
130.86 f4 0.14
130.86 a4 0.14
131.02 d5 0.14
131.02 f5 0.14
131.19 e5 0.07
131.27 f5 0.07
131.35 e5 0.14
131.52 c5 0.14
131.52 g5 0.14
131.68 f5 0.14
131.85 e5 0.07
131.93 f5 0.07
132.01 e5 0.07
132.09 c5 0.07
132.18 d5 0.14
132.34 f5 0.14
132.34 a5 0.14
132.51 g5 0.07
132.59 a5 0.07
132.67 g5 0.07
132.75 a5 0.07
132.84 f5 0.14
132.84 c#6 0.14
133.00 a5 0.14
133.17 g5 0.14
133.33 a5 0.14
133.50 f4 0.14
133.50 a4 0.14
133.66 d5 0.14
133.66 f5 0.14
133.83 e5 0.07
133.91 f5 0.07
133.99 e5 0.14
134.15 c5 0.14
134.15 g5 0.14
134.32 f5 0.14
134.48 e5 0.07
134.57 f5 0.07
134.65 e5 0.07
134.73 c5 0.07
134.81 d5 0.14
134.98 f5 0.14
134.98 a5 0.14
135.14 g5 0.07
135.23 a5 0.07
135.31 g5 0.07
135.39 a5 0.07
135.47 f5 0.14
135.47 c6 0.14
135.64 a5 0.14
135.80 f5 0.14
135.97 f#5 0.14
136.13 g4 0.14
136.13 d5 0.14
136.13 g5 0.14
136.30 a#4 0.07
136.38 d5 0.07
136.46 a#4 0.14
136.63 d5 0.14
136.63 g5 0.14
136.79 e5 0.14
136.79 a5 0.14
136.96 a4 0.07
137.04 e5 0.07
137.04 a5 0.07
137.12 a4 0.14
137.29 e5 0.14
137.29 a5 0.14
137.45 f5 0.14
137.45 a#5 0.14
137.62 d5 0.14
137.78 f5 0.14
137.78 b5 0.14
137.95 d5 0.14
138.11 e5 0.55
138.11 g5 0.55
138.11 c6 0.55
138.77 f4 0.14
138.77 a4 0.14
138.94 d5 0.14
138.94 f5 0.14
139.10 e5 0.07
139.18 f5 0.07
139.26 e5 0.14
139.43 c5 0.14
139.43 g5 0.14
139.59 f5 0.14
139.76 e5 0.07
139.84 f5 0.07
139.92 e5 0.07
140.01 c5 0.07
140.09 d5 0.14
140.25 f5 0.14
140.25 a5 0.14
140.42 g5 0.07
140.50 a5 0.07
140.58 g5 0.07
140.67 a5 0.07
140.75 f5 0.14
140.75 c6 0.14
140.91 a5 0.14
141.08 g5 0.14
141.24 a5 0.14
141.41 f4 0.14
141.41 a4 0.14
141.57 d5 0.14
141.57 f5 0.14
141.74 e5 0.07
141.82 f5 0.07
141.90 e5 0.14
